"report_date","asin","cost","clicks","impressions"
"2021-12-19",NULL,0.47,1,97
"2021-12-20",NULL,6.0,11,2789
"2021-12-21",NULL,10.43,19,2402
"2021-12-22",NULL,6.89,9,2739
"2021-12-22",NULL,0.47,1,47
"2021-12-23",NULL,7.83,12,3915
"2021-12-23",NULL,0.94,2,53
"2021-12-24",NULL,0.9,3,2532
"2021-12-25",NULL,2.53,7,4093
"2021-12-25",NULL,1.15,1,31
"2021-12-26",NULL,9.22,15,4534
"2021-12-27",NULL,8.2,13,4815
"2021-12-28",NULL,7.46,15,4572
"2021-12-28",NULL,0.48,1,38
"2021-12-29",NULL,11.06,20,4721
"2021-12-30",NULL,8.18,15,3307
"2021-12-30",NULL,1.05,3,226
"2021-12-31",NULL,5.86,12,3360
"2022-01-01",NULL,2.41,7,4456
"2022-01-02",NULL,9.68,20,5571
"2022-01-03",NULL,7.1,14,4214
"2022-01-04",NULL,3.52,9,4170
"2022-01-04",NULL,0.57,1,57
"2022-01-05",NULL,6.21,17,4796
"2022-01-06",NULL,5.29,10,4855
"2022-01-06",NULL,0.1,1,50
"2022-01-07",NULL,8.82,18,4678
"2022-01-08",NULL,1.11,7,4630
"2022-01-09",NULL,5.27,10,5073
"2022-01-09",NULL,0.48,1,44
"2022-01-10",NULL,4.99,11,3972
"2022-01-10",NULL,0.84,2,26
"2022-01-11",NULL,6.35,13,4205
"2022-01-12",NULL,2.8,10,3780
"2022-01-13",NULL,4.08,12,3412
"2022-01-14",NULL,5.98,10,4150
"2022-01-15",NULL,3.05,5,3786
"2022-01-15",NULL,0.47,1,44
"2022-01-16",NULL,4.46,10,4487
"2022-01-17",NULL,5.12,9,4192
"2022-01-17",NULL,0.39,1,1
"2022-01-18",NULL,8.07,11,4422
"2022-01-18",NULL,1.42,1,32
"2022-01-19",NULL,8.24,18,4672
"2022-01-19",NULL,0.0,0,0
"2022-01-19",NULL,3.02,1,36
"2022-01-20",NULL,8.92,16,3742
"2022-01-20",NULL,0.9,2,146
"2022-01-21",NULL,5.91,11,4087
"2022-01-22",NULL,7.16,10,4100
"2022-01-22",NULL,3.11,2,7
"2022-01-23",NULL,9.01,13,2521
"2022-01-23",NULL,0.95,2,311
"2022-01-24",NULL,4.77,14,3410
"2022-01-25",NULL,8.06,18,2165
"2022-01-26",NULL,3.95,10,2015
"2022-01-26",NULL,1.17,2,38
"2022-01-27",NULL,3.87,8,1997
"2022-01-27",NULL,0.47,1,44
"2022-01-28",NULL,5.85,11,1741
"2022-01-28",NULL,0.83,1,47
"2022-01-29",NULL,5.92,14,1705
"2022-01-30",NULL,5.51,16,2378
"2022-01-31",NULL,9.08,19,1159
"2022-01-31",NULL,1.07,2,165
"2022-02-01",NULL,6.03,14,1878
"2022-02-02",NULL,4.04,7,1919
"2022-02-03",NULL,3.13,7,1762
"2022-02-04",NULL,3.24,6,2501
"2022-02-05",NULL,4.12,9,2282
"2022-02-05",NULL,0.47,1,48
"2022-02-06",NULL,7.19,13,2676
"2022-02-07",NULL,5.42,12,2465
"2022-02-08",NULL,12.61,18,2609
"2022-02-08",NULL,0.7,1,88
"2022-02-09",NULL,6.53,9,2582
"2022-02-10",NULL,3.45,5,2260
"2022-02-11",NULL,12.12,16,2190
"2022-02-12",NULL,12.91,19,2268
"2022-02-13",NULL,11.01,17,3038
"2022-02-14",NULL,7.75,18,2636
"2022-02-15",NULL,13.63,15,2000
"2022-02-15",NULL,2.61,4,291
"2022-02-16",NULL,8.29,10,1074
"2022-02-16",NULL,1.05,2,121
"2022-02-17",NULL,5.88,12,3080
